athlete_id,athlete_display_name,stat,line,season_avg,season_std,games_played,games_over,hit_rate_season,hit_rate_L5,hit_rate_L10,hit_rate_home,hit_rate_away,prob_empirical,prob_poisson,prob_normal,prob_ensemble,confidence,edge_direction,edge_strength
4433643,Mackenzie Holmes,rebounds,7.5,3.1904761904761907,2.8916958280401412,21,1,0.047619047619047616,0.0,0.0,0.1111111111111111,0.0,0.047619047619047616,0.016566675814489607,0.06807134489751536,0.04408568944368419,High,UNDER,Strong
4433643,Mackenzie Holmes,rebounds,8.5,3.1904761904761907,2.8916958280401412,21,1,0.047619047619047616,0.0,0.0,0.1111111111111111,0.0,0.047619047619047616,0.005609028042946928,0.03316936065262473,0.028799145438206424,High,UNDER,Strong
4433643,Mackenzie Holmes,rebounds,9.5,3.1904761904761907,2.8916958280401412,21,1,0.047619047619047616,0.0,0.0,0.1111111111111111,0.0,0.047619047619047616,0.0017245708964212206,0.014556763452175454,0.021300127322548098,High,UNDER,Strong
4433643,Mackenzie Holmes,rebounds,10.5,3.1904761904761907,2.8916958280401412,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004852440925296844,0.0057395787934556705,0.0020749409619951185,High,UNDER,Strong
4433643,Mackenzie Holmes,rebounds,11.5,3.1904761904761907,2.8916958280401412,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012578566889014805,0.0020292313644675666,0.0007183390111192381,High,UNDER,Strong
4433643,Mackenzie Holmes,rebounds,12.5,3.1904761904761907,2.8916958280401412,21,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0215373716144163e-05,0.0006422971313630713,0.00022417083502640513,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,1.5,0.5714285714285714,0.7464200272921789,21,3,0.14285714285714285,0.0,0.1,0.0,0.25,0.14285714285714285,0.11258580827352123,0.10674363919509716,0.12072886344192041,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,2.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02038693121102993,0.004886465588098293,0.008424465599709408,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,3.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028252403419839777,4.36377152865004e-05,0.0009562926857568261,High,UNDER,Strong
4433643,Mackenzie Holmes,assists,4.5,0.5714285714285714,0.7464200272921789,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031642736069170034,7.077772718851874e-08,0.00010549937947296294,High,UNDER,Strong
